index,hot,title,href
1,工程人管小管,深中通道通车引发渤海湾网友羡慕，山东、辽宁距离这么近，为什么不建桥？,https://new.qq.com/rain/a/20240703Q03E3Z00
2,神斗斗????,“毕业典礼袭击老师”学生被开除学籍，他能拿到毕业证吗？日后有何影响？,https://new.qq.com/rain/a/20240702Q03DPT00
3,三分亮剑,美国2名宇航员被困空间站，他们还能撑多久？科幻片的自救手段能照搬吗？,https://new.qq.com/rain/a/20240703Q01NJT00
4,注册营养师刘又姣,这是个什么病？,https://new.qq.com/rain/a/20240703Q099KD00
5,看见未来,多地社保缴纳基数上调，这个基数是怎么计算的？对你的收入有多大影响？,https://new.qq.com/rain/a/20240703Q00TAV00
6,小白马的经略观,上海29.8万元1平的别墅开盘就售罄，为什么豪宅和普通住宅行情冰火两重天？,https://new.qq.com/rain/a/20240702Q04DYH00
7,粘粘有语,网传中金公司一名女员工因降薪自杀，金融从业人员的压力到底有多大？,https://new.qq.com/rain/a/20240703Q067TJ00
8,用户8068821,这不算杀人未遂吗？和解就不用追责了？,https://new.qq.com/rain/a/20240702Q088TN00
9,华夏基金ETF,央行亲自下场借国债，这是什么操作？释放什么重大信号？,https://new.qq.com/rain/a/20240702Q04HOK00
10,乃是乃冬的乃,汽车行业这种强制加班现象普遍吗？没人管吗？,https://new.qq.com/rain/a/20240702Q044A000
11,点评校尉,世界银行将俄罗斯列为国民高收入国家，乌克兰晋级中高收入国家，真是打仗致富吗？,https://new.qq.com/rain/a/20240703Q033N400
12,今天涨了吧,世卫组织首次发布成人戒烟临床治疗指南，你戒过烟吗？戒烟戒酒哪个更难？,https://new.qq.com/rain/a/20240703Q04MYH00
13,神斗斗????,为什么现在“霸凌”事件接二连三呢？！,https://new.qq.com/rain/a/20240703Q03GP900
14,我也不知道叫个啥名,华为将问界等系列商标转让给赛力斯，这是什么操作？双方会“分手”吗？,https://new.qq.com/rain/a/20240703Q04SL000
15,绿树林子,消息称俄罗斯女大将携上亿资金叛逃，这个消息是怎么出来的？靠谱吗？,https://new.qq.com/rain/a/20240702Q00FKZ00
16,用户7298668,两名中企高管在菲律宾遭绑架撕票，只是个案吗？还能安心去出差旅游吗？,https://new.qq.com/rain/a/20240703Q09A6D00
17,奶爸老钱聊带娃,男星嘴对嘴亲吻成年女儿引争议，他被骂冤吗？亲子之间该如何拿捏亲密度？,https://new.qq.com/rain/a/20240702Q04IHV00
18,聆听,天水麻辣烫扎堆倒闭，你家门口的网红美食店还活着吗？,https://new.qq.com/rain/a/20240702Q04XU500
19,工程人管小管,这种房子为何能通过验收？谁该对此事负责？该怎么负责？,https://new.qq.com/rain/a/20240702Q01AGD00
20,飞跃本屯,“896”的工作真有必要吗？把人往死里用效率就更高吗？,https://new.qq.com/rain/a/20240703Q0147200
21,不怕困难的王导演,网友称在减肥期间“暴食了30个黄瓜和17个西红柿”，有什么影响？会胖吗？,https://new.qq.com/rain/a/20240702Q0AJQY00
22,与火神有个约会,踩踏发生前有何征兆吗？身处其中的人如何自救互救？,https://new.qq.com/rain/a/20240703Q03CT600
23,阳光下的黑影,匈牙利接任欧盟轮值主席国，对乌克兰入欧不同意也不阻止，乌克兰怎么办？,https://new.qq.com/rain/a/20240703Q02TPC00
24,小啊讲房子,业主两年前断供的房子被法拍，你有过断供经历吗？什么让你下决心断供的？,https://new.qq.com/rain/a/20240702Q04J9B00
25,加拿大战狼,全班46人都能上985，是掐尖组成的吗？在牛人云集的班级读书是什么体验？,https://new.qq.com/rain/a/20240703Q053AS00
26,豪仔Kenneth,苹果把iPhoneX列为过时产品，你会担心自己手机过时吗？你手机用了多久？,https://new.qq.com/rain/a/20240702Q035JI00
27,殷康,借调人员称年度考核成“边缘人”，你身边有人借调过吗？会被区别对待吗？,https://new.qq.com/rain/a/20240702Q047A000
28,烧不死的鸟,C罗罚丢点球落泪，本届欧洲杯4场0球，他心理压力有多大？该让出首发吗？,https://new.qq.com/rain/a/20240702Q00SAF00
29,阳光下的黑影,拜登辩论表现差评如潮，民主党奋力补救，真补得上吗？是否主动退选更好？,https://new.qq.com/rain/a/20240702Q031TK00
30,奶爸老钱聊带娃,南京电动自行车实行赋码管理，有码能更安全吗？能阻止把车带上楼充电吗？,https://new.qq.com/rain/a/20240702Q077TS00
