index,hot,title,href
1,Dalius Stuoka | logo designer,Forest Wordmark Logo Design - Update,https://dribbble.com/shots/
2,Gert van Duinen,Falcon,https://dribbble.com/shots/
3,Alfrey Davilla | vaneltia,Pet Care Logo,https://dribbble.com/shots/
4,Emote,Serpent Swap wallet,https://dribbble.com/shots/
5,Slavisa Dujkovic | logo,Compass Cargo logo symbol,https://dribbble.com/shots/
6,Ronas IT | UI/UX Team,Recruitment Website Design Concept,https://dribbble.com/shots/
7,Lucian Radu,Dynamic Raven In Flight Logo,https://dribbble.com/shots/
8,DAINOGO,"Black Swan, Music Note Logo - Minimalist, Creative Logo For Sale",https://dribbble.com/shots/
9,Srdjan Vidakovic,Unleashed Creativity - Widakk Design Studio,https://dribbble.com/shots/
10,One Week Wonders,Velobank - Digital Neo Bank Card Dashboard App UI,https://dribbble.com/shots/
11,"Alex Tass, logo designer","Upside, teams & teamwork saas logo design: U letter + slingshot",https://dribbble.com/shots/
12,Mila Katagarova,Packaging design for cupcakes - Penguinos,https://dribbble.com/shots/
13,Focus Lab + Odi,Odi Agency: Tarro Rebrand,https://dribbble.com/shots/
14,Folio Illustration Agency,Faces,https://dribbble.com/shots/
15,HALO LAB,UI-UX for a Finance Product ✦ Monetir,https://dribbble.com/shots/
16,Sergio Joseph,Regal,https://dribbble.com/shots/
17,Jeremy Vessey,Tenuta Cavalla Bianco - Wine Label Concept,https://dribbble.com/shots/
18,Nixtio,Traffic Monitoring Website Design,https://dribbble.com/shots/
19,Flatonica,Casper Cards: Send Crypto Coins Animation,https://dribbble.com/shots/
20,Keitoto,HR Management Saas Landing Page - Features Section,https://dribbble.com/shots/
21,Andrii Kovalchuk🇺🇦,T lettermark,https://dribbble.com/shots/
22,Heyo,Solana Seeker Illustration,https://dribbble.com/shots/
23,Shakuro,Website for Stability AI — An Artificial Intelligence Company,https://dribbble.com/shots/
24,Kemal Sanli,Objects,https://dribbble.com/shots/
