index,hot,title,href
1,1225 万热度,央行黄金储备连续 11 个月增持，黄金储备首次站上 7000 万盎司，透露了哪些信息？,https://www.zhihu.com/question/625102080
2,628 万热度,麻省理工重磅论文引围观，证实大型语言模型是「世界模型」，甚至有独立的时间和空间神经元，真实性如何？,https://www.zhihu.com/question/624959488
3,489 万热度,为什么很多人宁愿早起吃个面包也不愿早起一会去喝个暖胃粥呢？,https://www.zhihu.com/question/622340039
4,146 万热度,杭州亚运会中国代表团共获 201 枚金牌，破单届金牌数纪录，哪块金牌让你印象深刻？,https://www.zhihu.com/question/625027374
5,138 万热度,一颗金丝楠木能卖到上亿，树苗一株才10元左右，为什么没人肯种？,https://www.zhihu.com/question/617358912
6,134 万热度,外交部回应「巴以冲突升级」，称根本出路在于落实「两国方案」，建立独立的巴勒斯坦国，透露哪些信息？,https://www.zhihu.com/question/625102612
7,129 万热度,跟男友在一起快五年，现在因为财政大权跟他出现争执，我到底该如何解决？,https://www.zhihu.com/question/624434147
8,95 万热度,世界上是否不存在悖论，所谓的悖论只是由于语序的不严谨而造成得逻辑上的自相矛盾？,https://www.zhihu.com/question/563509842
9,92 万热度,你在魔兽世界中做过最蠢的（最糗的）事有哪些？,https://www.zhihu.com/question/265899862
10,90 万热度,张艺谋已经 73 岁了，在导演界也是天花板级别的存在，他已经功成名就了，为啥他还在不断努力拍电影？,https://www.zhihu.com/question/624711628
11,83 万热度,巴以冲突会否牵制美国对俄乌战局的干预精力？俄乌战争进程会因此生变吗？,https://www.zhihu.com/question/625094165
12,76 万热度,人类可以通过脑部植入装置来实现「超能力」吗？比如提高记忆力和语言能力？,https://www.zhihu.com/question/624973990
13,70 万热度,性格活泼大方、情商超高，这样「社牛」类型的人为什么会愿意和性格内向、情商负数、沉闷不会聊天的人做朋友？,https://www.zhihu.com/question/624435976
14,65 万热度,电影《志愿军：雄兵出击》票房破 4 亿，如何评价这一票房成绩？,https://www.zhihu.com/question/624872305
15,63 万热度,巴以冲突为何再起？是否与以色列近年来过度压制巴勒斯坦的生存空间有关？,https://www.zhihu.com/question/625097253
16,62 万热度,以军继续空袭加沙地带哈马斯目标，双方死亡人数已超 400 人，局势可能如何发展？,https://www.zhihu.com/question/625082833
17,61 万热度,如何评价恐怖电影《回应我》？,https://www.zhihu.com/question/621995048
18,60 万热度,孩子要去上大学了，用2千多元的手机很丢人吗？,https://www.zhihu.com/question/616927172
19,59 万热度,男朋友因为我奶奶用了他杯子跟我吵架，这种情况怎么办呢？,https://www.zhihu.com/question/618848739
20,59 万热度,你见过最节俭的人，节俭到什么程度？,https://www.zhihu.com/question/288636445
21,49 万热度,入职第一天发现加班强度很大且氛围不好，但薪资待遇高于行业平均水平，要不要离职?,https://www.zhihu.com/question/622558906
22,47 万热度,S13 全球总决赛上 LPL 队伍有可能在 BO5 里击溃 T1 战队吗？,https://www.zhihu.com/question/624960918
23,41 万热度,在减肥路上，你都花过什么钱？,https://www.zhihu.com/question/620704799
24,38 万热度,什么东西你可以接受二手的？,https://www.zhihu.com/question/385369212
